source,target,value,class
18.06,6.337,1,test
18.700,6.337,1,test
18.701,6.337,1,test
18.03,6.336,1,test
18.06,6.336,1,test
8.02,6.003,1,test
2.087,6.003,1,test
18.03,6.003,1,test
8.02,6.002,1,test
18.03,6.002,1,test
2.087,6.002,1,test
18.404,6.841,1,test
8.02,6.007,1,test
2.087,6.007,1,test
18.03,6.007,1,test
6.042,6.006,1,test
6.0001,6.006,1,test
6.009,6.006,1,test
6.0001,6.009,1,test
18.02,6.008,1,test
6.003,6.701,1,test
6.046,6.849,1,test
18.03,6.339,1,test
18.06,6.339,1,test
18.06,6.338,1,test
18.700,6.338,1,test
18.701,6.338,1,test
6.045,6.845,1,test
6.840,6.845,1,test
18.435,6.845,1,test
6.002,6.169,1,test
8.02,6.163,1,test
6.003,6.161,1,test
6.0001,6.0002,1,test
6.013,6.641,1,test
6.728,6.731,1,test
6.012,6.731,1,test
6.033,6.814,1,test
6.046,6.814,1,test
6.006,6.814,1,test
6.921,6.922,1,test
8.02,6.S08,1,test
18.02,6.03,1,test
8.02,6.03,1,test
6.801,6.870,1,test
6.869,6.870,1,test
6.641,6.642,1,test
6.912,6.911,1,test
6.002,6.012,1,test
18.02,6.013,1,test
8.02,6.013,1,test
6.041B,6.854,1,test
6.042,6.854,1,test
18.600,6.854,1,test
6.046,6.854,1,test
6.003,6.011,1,test
6.008,6.011,1,test
6.041A,6.011,1,test
18.600,6.011,1,test
6.046,6.852,1,test
6.006,6.853,1,test
6.046,6.853,1,test
6.046,6.850,1,test
6.046,6.851,1,test
6.003,6.719,1,test
6.033,6.858,1,test
6.031,6.858,1,test
18.03,6.557,1,test
7.012,6.557,1,test
6.011,6.556,1,test
6.003,6.555,1,test
2.004,6.555,1,test
16.002,6.555,1,test
18.085,6.555,1,test
6.041B,6.207,1,test
14.30,6.207,1,test
6.003,6.552,1,test
6.041B,6.552,1,test
6.431B,6.552,1,test
18.02,6.152,1,test
5.111,6.152,1,test
8.02,6.152,1,test
6.336,6.335,1,test
16.920,6.335,1,test
18.085,6.335,1,test
18.335,6.335,1,test
6.012,6.334,1,test
6.041B,6.869,1,test
6.042,6.869,1,test
18.06,6.869,1,test
6.021,6.503,1,test
6.034,6.503,1,test
6.046,6.503,1,test
6.336,6.503,1,test
18.417,6.503,1,test
6.004,6.871,1,test
6.006,6.871,1,test
6.031,6.871,1,test
6.003,6.717,1,test
2.003,6.717,1,test
8.02,6.717,1,test
18.200,6.840,1,test
18.062J,6.840,1,test
6.004,6.846,1,test
6.033,6.830,1,test
6.046,6.830,1,test
6.006,6.830,1,test
6.034,6.905,1,test
6.046,6.842,1,test
6.840,6.842,1,test
6.034,6.863,1,test
6.041B,6.867,1,test
18.600,6.867,1,test
18.06,6.867,1,test
1.00,6.141,1,test
6.0001,6.141,1,test
2.003,6.141,1,test
6.006,6.141,1,test
6.009,6.141,1,test
16.06,6.141,1,test
18.02,6.865,1,test
6.031,6.865,1,test
6.046,6.864,1,test
18.03,6.027,1,test
7.012,6.027,1,test
2.70,6.025,1,test
2.72,6.025,1,test
2.678,6.025,1,test
6.115,6.025,1,test
22.071,6.025,1,test
2.370,6.024,1,test
2.772J,6.024,1,test
18.03,6.024,1,test
3.016,6.024,1,test
7.012,6.024,1,test
8.02,6.023,1,test
2.005,6.023,1,test
6.021,6.023,1,test
20.309,6.023,1,test
8.02,6.022,1,test
18.03,6.022,1,test
8.02,6.021,1,test
18.03,6.021,1,test
2.005,6.021,1,test
6.002,6.021,1,test
6.003,6.021,1,test
6.071,6.021,1,test
10.301,6.021,1,test
20.110,6.021,1,test
7.012,6.802,1,test
6.0002,6.802,1,test
6.01,6.802,1,test
7.05,6.802,1,test
18.06,6.215,1,test
6.431A,6.431B,1,test
18.02,6.431A,1,test
2.008,6.780,1,test
6.041B,6.780,1,test
6.152,6.780,1,test
15.064,6.780,1,test
6.152,6.781,1,test
6.161,6.781,1,test
2.710,6.781,1,test
2.71,6.621,1,test
6.013,6.621,1,test
8.07,6.621,1,test
6.921,6.951,1,test
6.922,6.951,1,test
6.002,6.131,1,test
6.003,6.131,1,test
6.007,6.131,1,test
6.006,6.878,1,test
6.041B,6.878,1,test
7.012,6.878,1,test
7.012,6.874,1,test
18.600,6.874,1,test
6.041B,6.874,1,test
6.009,6.031,1,test
6.875,6.876,1,test
6.004,6.033,1,test
6.009,6.033,1,test
6.0001,6.034,1,test
6.004,6.035,1,test
6.031,6.035,1,test
6.0001,6.036,1,test
6.041B,6.268,1,test
18.06,6.268,1,test
6.003,6.344,1,test
6.041B,6.344,1,test
6.011,6.345,1,test
6.036,6.345,1,test
6.011,6.341,1,test
6.730,6.732,1,test
8.231,6.732,1,test
6.041B,6.263,1,test
18.204,6.263,1,test
6.041B,6.231,1,test
18.600,6.231,1,test
18.100A,6.231,1,test
18.100B,6.231,1,test
18.100Q,6.231,1,test
6.431B,6.265,1,test
15.085J,6.265,1,test
18.100A,6.265,1,test
18.100B,6.265,1,test
18.100Q,6.265,1,test
6.041B,6.267,1,test
6.042,6.267,1,test
6.008,6.438,1,test
6.041B,6.438,1,test
6.436,6.438,1,test
18.06,6.438,1,test
18.02,6.434,1,test
18.06,6.434,1,test
6.431B,6.434,1,test
18.02,6.436,1,test
6.008,6.437,1,test
6.041B,6.437,1,test
6.436,6.437,1,test
6.003,6.637,1,test
6.013,6.634,1,test
8.07,6.634,1,test
6.UAT,6.THM,1,test
6.0001,6.01,1,test
6.0001,6.02,1,test
21M.301,6.809,1,test
6.01,6.809,1,test
7.012,6.123,1,test
2.004,6.123,1,test
6.003,6.123,1,test
20.309,6.123,1,test
6.033,6.824,1,test
6.012,6.720,1,test
3.42,6.720,1,test
6.046J,6.875,1,test
6.003,6.801,1,test
6.061,6.685,1,test
6.690,6.685,1,test
7.012,6.129,1,test
18.02,6.129,1,test
6.003,6.728,1,test
18.06,6.728,1,test
6.008,6.804,1,test
6.036,6.804,1,test
6.041B,6.804,1,test
9.40,6.804,1,test
18.05,6.804,1,test
6.837,6.807,1,test
6.046,6.806,1,test
7.03,6.049,1,test
6.0001,6.049,1,test
2.71,6.602,1,test
6.013,6.602,1,test
8.07,6.602,1,test
6.004,6.375,1,test
6.012,6.374,1,test
6.004,6.374,1,test
6.042,6.045,1,test
8.02,6.S064,1,test
18.03,6.S064,1,test
2.087,6.S064,1,test
6.006,6.047,1,test
6.041B,6.047,1,test
7.012,6.047,1,test
6.006,6.046,1,test
18.01,6.042,1,test
7.012,6.524,1,test
2.002,6.524,1,test
2.006,6.524,1,test
6.013,6.524,1,test
10.301,6.524,1,test
10.302,6.524,1,test
2.008,6.525,1,test
6.101,6.525,1,test
6.111,6.525,1,test
6.115,6.525,1,test
22.071,6.525,1,test
2.006,6.522,1,test
6.013,6.522,1,test
6.021,6.522,1,test
6.034,6.872,1,test
6.036,6.872,1,test
8.02,6.521,1,test
18.03,6.521,1,test
2.005,6.521,1,test
6.002,6.521,1,test
6.003,6.521,1,test
6.071,6.521,1,test
10.301,6.521,1,test
20.110,6.521,1,test
6.041B,6.441,1,test
6.006,6.440,1,test
6.045,6.440,1,test
18.435,6.443,1,test
6.041B,6.442,1,test
6.042,6.442,1,test
8.01,6.946,1,test
18.03,6.946,1,test
6.951,6.952,1,test
6.241,6.245,1,test
16.31,6.245,1,test
6.041B,6.819,1,test
6.042,6.819,1,test
18.06,6.819,1,test
6.003,6.241,1,test
18.06,6.241,1,test
